report_date,SKU,Qty
2022-04-04,SET413-KR-NP-S,1
2022-04-04,SET304-KR-DPT-XXXL,4
2022-04-04,JNE3373-KR-L,6
2022-04-04,J0340-TP-S,1
2022-04-04,JNE2049-KR-351-XXXL1,3
2022-04-04,J0339-DR-XL,4
2022-04-04,SET389-KR-NP-S,1
2022-04-04,SET328-KR-NP-L,2
2022-04-04,MEN5022-KR-XXL,2
2022-04-04,JNE3644-TP-N-XL,1
2022-04-04,JNE3806-KR-XXXL,3
2022-04-04,JNE3773-KR-S,1
2022-04-04,JNE3620-KR-S,2
2022-04-04,JNE3465-KR-XXL,4
2022-04-04,JNE3642-TP-XS,2
2022-04-04,JNE3563-KR-XL,1
2022-04-04,SET336-KR-NP-M,1
2022-04-04,J0147-SET-XXL,1
2022-04-04,J0249-SKD-L,1
2022-04-04,JNE3659-TP-N-S,2
2022-04-04,BL057-65BLACK-A,3
2022-04-04,MEN5009-KR-M,6
2022-04-04,SET358-KR-NP-M,4
2022-04-04,J0154-DR-XXXL,1
2022-04-04,JNE3611-KR-L,2
2022-04-04,JNE3697-KR-S,3
2022-04-04,J0376-SKD-XS,2
2022-04-04,JNE3579-KR-XXXL,2
2022-04-04,SET374-KR-NP-XXXL,1
2022-04-04,SET197-KR-NP-XXL,1
2022-04-04,J0354-KR-XL,2
2022-04-04,BL110-L,1
2022-04-04,PJNE3440-KR-N-6XL,4
2022-04-04,J0235-SKD-M,1
2022-04-04,J0217-BL-XL,1
2022-04-04,JNE3030-KR-L,1
2022-04-04,JNE3878-KR-XXXL,2
2022-04-04,J0198-TP-L,1
2022-04-04,J0234-SKD-XXXL,1
2022-04-04,J0012-SKD-XXL,1
2022-04-04,J0308-DR-XXXL,2
2022-04-04,JNE3544-KR-M,1
2022-04-04,JNE3534-KR-XXXL,1
2022-04-04,JNE3643-TP-N-XS,1
2022-04-04,SAR026,1
2022-04-04,SET245-KR-NP-S,2
2022-04-04,SET044-KR-NP-S,3
2022-04-04,SET138-KR-PP-XL,1
2022-04-04,SET383-KR-NP-XXXL,1
2022-04-04,JNE3366-KR-1053-S,1
2022-04-04,JNE3786-KR-XXXL,1
2022-04-04,SET131-KR-NP-A-XL,2
2022-04-04,SET310-KR-NP-L,1
2022-04-04,J0230-SKD-M,40
2022-04-04,J0249-SKD-XL,2
2022-04-04,SET270-KR-PP-L,4
2022-04-04,BL113-XS,1
2022-04-04,AN209-BIEGE-XL,1
2022-04-04,J0284-SKD-M,1
2022-04-04,JNE3795-KR-M,2
2022-04-04,JNE3798-KR-XXL,4
2022-04-04,JNE3160-KR-G-L,4
2022-04-04,NW004-TP-PJ-S,1
2022-04-04,JNE3647-TP-N-XS,2
2022-04-04,SET405-KR-NP-XS,2
2022-04-04,JNE3691-TU-S,1
2022-04-04,JNE3560-KR-M,4
2022-04-04,JNE2199-KR-411-A-L,4
2022-04-04,SET228-KR-PP-A-XL,1
2022-04-04,JNE3400-KR-XXL,2
2022-04-04,SET270-KR-PP-XXL,1
2022-04-04,J0007-SKD-M,1
2022-04-04,MEN5017-KR-S,1
2022-04-04,J0338-DR-S,1
2022-04-04,SET392-KR-NP-M,1
2022-04-04,J0209-DR-L,1
2022-04-04,SET413-KR-NP-L,1
2022-04-04,J0339-DR-XS,1
2022-04-04,SET246-KR-PP-XXXL,1
2022-04-04,J0006-SET-XXL,1
2022-04-04,JNE1977-KR-237-M,1
2022-04-04,JNE3401-KR-XL,1
2022-04-04,MEN5004-KR-S,2
2022-04-04,SET342-KR-NP-N-XL,2
2022-04-04,JNE3399-KR-XXL,1
2022-04-04,J0294-TP-XL,1
2022-04-04,J0282-SET-S,1
2022-04-04,SET043-KR-NP-XS,1
2022-04-04,JNE3368-KR-XL,4
2022-04-04,JNE3704-KR-M,1
2022-04-04,SET210-KR-PP-S,1
2022-04-04,SET323-KR-NP-XS,1
2022-04-04,SET273-KR-NP-M,1
2022-04-04,SET318-KR-SHA-M,1
2022-04-04,JNE3634-KR-XXL,1
2022-04-04,JNE3571-KR-XL,2
2022-04-04,JNE3463-KR-XL,2
2022-04-04,JNE3779-KR-XXL,1
2022-04-04,JNE3776-KR-XS,1
2022-04-04,JNE3784-KR-L,1
2022-04-04,JNE3542-KR-XS,1
2022-04-04,SET203-KR-DPT-XXXL,1
2022-04-04,JNE3412-KR-XXL,1
2022-04-04,J0117-TP-M,3
2022-04-04,SET307-KR-DPT-S,1
2022-04-04,PJNE2014-KR-N-4XL,3
2022-04-04,J0334-TP-XL,1
2022-04-04,JNE2251-KR-537-C-XXL,1
2022-04-04,JNE3364-KR-1051-A-L,1
2022-04-04,SET266-KR-NP-M,1
2022-04-04,SET317-KR-PP-XS,1
2022-04-04,SET183-KR-DH-M,21
2022-04-04,JNE3373-KR-XS,3
2022-04-04,JNE3833-KR-XL,1
2022-04-04,SET308-KR-PP-XXXL,1
2022-04-04,SET375-KR-NP-XS,1
2022-04-04,J0341-DR-XL,4
2022-04-04,MEN5015-KR-XL,1
2022-04-04,JNE3613-KR-XXXL,1
2022-04-04,MEN5025-KR-M,1
2022-04-04,SET388-KR-NP-XS,1
2022-04-04,JNE3449-KR-L,1
2022-04-04,J0122-TP-XL,3
2022-04-04,JNE3565-KR-XXL,1
2022-04-04,SET048-KR-NP-XS,1
2022-04-04,JNE3568-KR-S,1
2022-04-04,J0301-TP-M,1
2022-04-04,JNE3404-KR-M,1
2022-04-04,SET268-KR-NP-M,10
2022-04-04,SET265-KR-NP-S,5
2022-04-04,JNE3803-KR-L,2
2022-04-04,PJNE2270-KR-N-5XL,1
2022-04-04,JNE3491-KR-L,1
2022-04-04,SET365-KR-NP-S,0
2022-04-04,J0299-KR-XXL,2
2022-04-04,JNE3311-KR-M,1
2022-04-04,J0280-SKD-M,1
2022-04-04,J0034-SET-XL,1
2022-04-04,SET378-KR-NP-L,3
2022-04-04,SET347-KR-NP-S,2
2022-04-04,SET351-KR-NP-L,3
2022-04-04,SET295-KR-NP-XL,3
2022-04-04,PJNE3368-KR-4XL,1
2022-04-04,JNE2305-KR-533-M,1
2022-04-04,SET293-KR-NP-XXXL,1
2022-04-04,JNE3613-KR-XL,1
2022-04-04,J0301-TP-XL,5
2022-04-04,SET184-KR-PP-XS,3
2022-04-04,J0299-KR-XXXL,2
2022-04-04,BL015-63PINK,1
2022-04-04,JNE3407-KR-L,1
2022-04-04,J0234-SKD-L,2
2022-04-04,JNE3270-KR-XXXL,1
2022-04-04,J0111-TP-XXL,1
2022-04-04,JNE3690-TU-S,1
2022-04-04,J0213-TP-L,1
2022-04-04,SET172-KR-PP-B-L,1
2022-04-04,JNE3510-KR-S,5
2022-04-04,JNE3704-KR-XL,1
2022-04-04,JNE3690-TU-XS,2
2022-04-04,J0140-SET-XXXL,1
2022-04-04,JNE3160-KR-G-XL,6
2022-04-04,SET230-KR-PP-XS,1
2022-04-04,JNE3568-KR-XXL,1
2022-04-04,SET179-KR-PP-XS,1
2022-04-04,JNE3658-TP-XL,1
2022-04-04,JNE3813-KR-XXXL,1
2022-04-04,J0212-DR-XL,1
2022-04-04,JNE3654-TP-S,2
2022-04-04,J0077-SKD-S,1
2022-04-04,SET264-KR-NP-XS,1
2022-04-04,SET340-KR-NP-L,1
2022-04-04,PSET043-KR-NP-4XL,1
2022-04-04,J0238-LCD-XL,1
2022-04-04,JNE3633-KR-XL,1
2022-04-04,JNE3607-KR-XS,2
2022-04-04,PJNE2199-KR-N-6XL,3
2022-04-04,SET098-KR-PP-XXXL,1
2022-04-04,MEN5018-KR-XXXL,1
2022-04-04,PJNE3373-KR-N-4XL,1
2022-04-04,SET319-KR-NP-M,1
2022-04-04,J0112-TP-XL,2
2022-04-04,NW029-ST-SR-XXXL,1
2022-04-04,J0306-DR-M,2
2022-04-04,SET229-KR-PP-XL,2
2022-04-04,JNE3618-KR-M,1
2022-04-04,JNE3423-KR-L,5
2022-04-04,SET405-KR-NP-XXXL,2
2022-04-04,J0055-SET-XS,1
2022-04-04,J0176-TP-XL,1
2022-04-04,JNE3861-DR-XXXL,2
2022-04-04,JNE3781-KR-XS,2
2022-04-04,SET130-KR-NP-XS,1
2022-04-04,SET378-KR-NP-XS,4
2022-04-04,JNE3690-TU-XL,1
2022-04-04,JNE3368-KR-XXL,8
2022-04-04,JNE3713-TP-N-XS,4
2022-04-04,J0196-TP-XXL,1
2022-04-04,JNE3822-KR-XXL,1
2022-04-04,SET393-KR-NP-S,3
2022-04-04,SET363-KR-NP-XL,2
2022-04-04,JNE3713-TP-N-XL,2
2022-04-04,JNE3573-KR-XS,1
2022-04-04,MEN5009-KR-XXL,3
2022-04-04,SET344-KR-NP-L,2
2022-04-04,MEN5025-KR-XXL,5
2022-04-04,JNE3399-KR-XL,10
2022-04-04,SET236-KR-PP-S,1
2022-04-04,J0012-SKD-XXXL,2
2022-04-04,SET055-KR-NP-XS,1
2022-04-04,SET227-KR-PP-A-L,1
2022-04-04,J0348-SET-S,2
2022-04-04,J0003-SET-XXXL,7
2022-04-04,JNE3794-KR-XXXL,7
2022-04-04,JNE3645-TP-N-XL,3
2022-04-04,JNE3800-KR-A-L,1
2022-04-04,SET110-KR-PP-XXXL,1
2022-04-04,JNE3482-KR-M,1
2022-04-04,JNE3577-KR-XXL,2
2022-04-04,J0008-SKD-L,4
2022-04-04,SET269-KR-NP-M,11
2022-04-04,SET359-KR-NP-L,1
2022-04-04,SET144-KR-NP-XS,1
2022-04-04,JNE3465-KR-XXXL,2
2022-04-04,SET369-KR-NP-XXXL,1
2022-04-04,SET402-KR-NP-XXXL,1
2022-04-04,JNE3407-KR-XXL,1
2022-04-04,PJNE3364-KR-4XL,1
2022-04-04,JNE3449-KR-XL,1
2022-04-04,NW020-ST-SR-XXL,1
2022-04-04,SET139-KR-PP-S,1
2022-04-04,JNE3728-KR-M,2
